id,amount,date,country,client_fio,account_number,status,transaction_status
60018,151832.05,2024-07-27 01:39:07,Уганда,Михеев Григорий Тимуровна,407029104046089535,Серый список FATF (риск),высокий риск
60019,262022.85,2025-03-29 09:10:20,Габон,Галкина Фотий Тимуровна,407020500619220023,Низкий риск,высокий риск
60020,9432.14,2024-08-10 04:44:31,Индия,Лихачева Адриан Евгеньевна,407023221026097082,Низкий риск,низкий риск
60021,133916.23,2024-07-05 18:22:35,Италия,Михайлов Ермолай Оскаровна,407020986151040912,Низкий риск,высокий риск
60022,264493.09,2025-05-31 21:44:40,Египет,Яковлева Евфросиния Аверьянович,407022165925789005,Низкий риск,высокий риск
60023,217233.49,2025-04-19 13:29:09,Гондурас,Лаврентьева Митофан Владимировна,407021197300443094,Низкий риск,высокий риск
60024,105906.74,2025-03-08 05:48:17,Таджикистан,Князева Иосиф Альбертовна,407029955085444245,СНГ (не подозрительная),высокий риск
60025,96684.41,2024-11-27 23:39:03,Таиланд,Дорофеева Евгения Даниловна,407022943802337773,Низкий риск,высокий риск
60026,70908.68,2025-05-16 14:07:29,Индонезия,Журавлев Таисия Анатольевна,407027032200835920,Низкий риск,высокий риск
60027,207314.58,2025-01-13 13:50:49,Кипр,Сазонов Глафира Харитоновна,407028897435217629,Офшор (риск),высокий риск
60028,108271.38,2024-06-29 13:49:52,Чад,Турова Леон Александрович,407026579325266148,Низкий риск,высокий риск
60029,156806.11,2024-09-07 10:19:39,Индия,Молчанова Орест Афанасьевич,407027011438863131,Низкий риск,высокий риск
60030,17759.71,2025-05-02 17:10:56,США,Зайцева Ираклий Зиновьевич,407022548496226115,Низкий риск,низкий риск
60031,77545.36,2025-03-17 06:36:22,Грузия,Копылова Зосима Ефимович,407028622344292159,Низкий риск,высокий риск
60032,16757.67,2024-11-24 16:11:05,Никарагуа,Воронцов Александра Марсович,407024975051720717,Санкционная (высокий риск),высокий риск
60033,216620.46,2025-02-08 05:15:03,Исландия,Журавлева Бажен Тимуровна,407021312206113808,Низкий риск,высокий риск
60034,182831.69,2024-08-02 09:46:56,Алжир,Зайцева Ираклий Зиновьевич,407022548496226115,Низкий риск,высокий риск
60035,31824.34,2025-01-16 18:28:19,Саудовская Аравия,Иванова Эраст Харитонович,407022667374044683,Низкий риск,средний риск
60036,1457.14,2024-08-15 18:13:08,Малайзия,Сазонов Глафира Харитоновна,407028897435217629,Низкий риск,низкий риск
60037,192155.15,2025-01-27 02:12:02,Сингапур,Панфилов Вениамин Станиславовна,407023424917518868,Офшор (риск),высокий риск
60038,2323.24,2024-10-25 13:49:30,Кения,Ефремов Татьяна Гавриилович,407027382855792179,Низкий риск,низкий риск
60039,201825.75,2025-01-10 02:35:51,ЮАР,Кононов Мечислав Тарасовна,407020933108062598,Серый список FATF (риск),высокий риск
60040,128838.88,2025-02-14 15:55:06,Алжир,Михеев Григорий Тимуровна,407029104046089535,Низкий риск,высокий риск
60041,236272.06,2024-06-21 07:20:26,Люксембург,Копылов Варфоломей Валентинович,407021751784656084,Низкий риск,высокий риск
60042,265773.43,2024-12-10 22:49:36,Судан,Рогова Ипполит Богдановна,407024521165925159,Санкционная (высокий риск),высокий риск
60043,51293.39,2024-11-22 05:31:09,Черногория,Герасимова Азарий Борисович,407023871409972991,Низкий риск,высокий риск
60044,268199.30,2025-05-09 13:41:31,Пакистан,Копылова Антонина Анисимович,407025521633128502,Низкий риск,высокий риск
60045,261449.08,2024-12-13 13:16:09,Польша,Суханов Эраст Ефимовна,407026057625076240,Низкий риск,высокий риск
60046,245502.32,2024-07-17 13:53:23,Норвегия,Рогова Ипполит Богдановна,407024521165925159,Низкий риск,высокий риск
60047,87646.25,2024-11-28 10:12:27,Непал,Григорьев Сидор Валерьянович,407021422101636308,Низкий риск,высокий риск
60048,177633.95,2025-05-05 05:06:37,Словения,Воронцов Александра Марсович,407024975051720717,Низкий риск,высокий риск
60049,142251.36,2024-07-09 21:33:09,Судан,Савельева Остромир Ермолаевич,407022851704819711,Санкционная (высокий риск),высокий риск
60050,95729.04,2025-04-25 04:16:47,Хорватия,Воронцов Александра Марсович,407024975051720717,Низкий риск,высокий риск
60051,58438.77,2025-01-28 17:35:23,Бурунди,Князев Никодим Ниловна,407022241940342207,Низкий риск,высокий риск
60052,68268.57,2024-07-14 00:03:25,Нидерланды,Журавлев Таисия Анатольевна,407027032200835920,Низкий риск,высокий риск
60053,181323.14,2024-10-13 11:30:36,Финляндия,Рогова Ипполит Богдановна,407024521165925159,Низкий риск,высокий риск
60054,61374.67,2025-03-14 16:26:33,Вьетнам,Гришин Куприян Трофимович,407020929029803383,Низкий риск,высокий риск
60055,143152.27,2024-12-09 01:38:26,Ангола,Савина Флорентин Адрианович,407023424408906955,Высокая коррупция (риск),высокий риск
60056,170292.38,2024-12-14 13:10:24,Ливия,Мамонтов Казимир Димитриевич,407022463806952389,Высокая коррупция (риск),высокий риск
60057,258100.38,2025-04-04 09:56:31,Филиппины,Мишин Кир Витальевич,407022433722473948,Серый список FATF (риск),высокий риск
60058,35797.91,2024-12-06 03:15:31,Хорватия,Макаров Авксентий Виленович,407027805350048022,Низкий риск,средний риск
60059,187289.17,2025-03-08 18:53:42,Нигерия,Попов Глеб Валентиновна,407023333752568116,Серый список FATF (риск),высокий риск
60060,134372.46,2025-01-30 10:33:52,Румыния,Хохлова Евфросиния Егорович,407022921912713131,Низкий риск,высокий риск
60061,203347.02,2024-12-13 06:19:12,Колумбия,Лазарева Севастьян Арсенович,407029505838984306,Низкий риск,высокий риск
60062,251590.10,2024-12-10 04:04:08,Бельгия,Филиппов Антонина Анатольевна,407022163828264858,Низкий риск,высокий риск
60063,265409.28,2024-11-20 15:31:43,Сенегал,Воронцов Александра Марсович,407024975051720717,Серый список FATF (риск),высокий риск
60064,73505.93,2025-02-13 01:30:50,Ливия,Суханов Эраст Ефимовна,407026057625076240,Высокая коррупция (риск),высокий риск
60065,81353.91,2024-06-07 02:19:35,Киргизия,Семенов Боян Станиславовна,407024771193433353,СНГ (не подозрительная),высокий риск
60066,242270.91,2024-10-09 06:19:56,Уругвай,Михеев Григорий Тимуровна,407029104046089535,Низкий риск,высокий риск
60067,299300.38,2024-06-15 06:50:38,Узбекистан,Красильникова Афиноген Алексеевич,407022004262198905,СНГ (не подозрительная),высокий риск
60068,218722.96,2024-11-27 15:46:39,Гвинея,Фролова Фома Феодосьевич,407025839175829766,Низкий риск,высокий риск
60069,166208.33,2025-05-13 23:50:53,Сербия,Суханов Эраст Ефимовна,407026057625076240,Низкий риск,высокий риск
60070,127744.47,2024-11-15 19:15:33,Румыния,Копылов Варфоломей Валентинович,407021751784656084,Низкий риск,высокий риск
60071,66069.13,2025-05-15 00:32:19,Литва,Бирюкова Синклитикия Афанасьевна,407029114357208580,Низкий риск,высокий риск
60072,264698.30,2024-09-21 12:41:55,Саудовская Аравия,Михеев Григорий Тимуровна,407029104046089535,Низкий риск,высокий риск
60073,46681.72,2024-11-04 13:21:09,Норвегия,Пономарев Алевтина Тарасович,407027876927717238,Низкий риск,средний риск
60074,256561.60,2024-07-14 20:24:50,Бенин,Устинов Анастасия Львовна,407020067821431385,Низкий риск,высокий риск
60075,238315.96,2025-04-25 18:48:31,Япония,Воронов Никодим Артемовна,407025481793962991,Низкий риск,высокий риск
60076,88011.61,2024-06-20 23:56:36,Камерун,Воробьева Модест Викторовна,407023234711946109,Низкий риск,высокий риск
60077,284521.99,2025-02-28 17:05:35,Шри-Ланка,Галкина Фотий Тимуровна,407020500619220023,Низкий риск,высокий риск
60078,75948.05,2024-11-22 05:48:43,Колумбия,Лихачев Виктория Архиповна,407025480493393751,Низкий риск,высокий риск
60079,128886.06,2024-06-15 06:00:34,Чад,Мишин Кир Витальевич,407022433722473948,Низкий риск,высокий риск
60080,107013.92,2024-11-20 07:43:00,Джибути,Гуляева Федот Виленович,407020848495211917,Низкий риск,высокий риск
60081,248842.53,2025-04-20 09:19:21,Беларусь,Кононова Давыд Денисович,407029896933648536,СНГ (не подозрительная),высокий риск
60082,157968.36,2025-04-17 12:41:11,Словения,Данилов Харитон Анисимович,407021911450758375,Низкий риск,высокий риск
60083,162268.62,2024-11-03 23:25:30,Кувейт,Устинов Анастасия Львовна,407020067821431385,Низкий риск,высокий риск
60084,263608.80,2025-02-26 17:12:42,Куба,Лыткин Елисей Александровна,407029663363923667,Санкционная (высокий риск),высокий риск
60085,123624.86,2024-11-25 17:16:05,Афганистан,Бирюкова Синклитикия Афанасьевна,407029114357208580,Санкционная (высокий риск),высокий риск
60086,282135.62,2024-12-26 17:26:37,Гватемала,Терентьева Эмилия Олеговна,407023642338578419,Низкий риск,высокий риск
60087,27676.46,2024-12-14 03:30:18,Уругвай,Никитин Остап Эдуардовна,407025210832475327,Низкий риск,средний риск
60088,23479.20,2024-10-31 23:56:46,Филиппины,Котов Кондрат Ерофеевич,407023795449503350,Серый список FATF (риск),высокий риск
60089,151582.61,2024-06-12 04:44:17,Швеция,Хохлова Евфросиния Егорович,407022921912713131,Низкий риск,высокий риск
60090,63369.09,2025-05-28 15:06:24,Канада,Морозов Дмитрий Иосифович,407020131473225662,Низкий риск,высокий риск
60091,190939.56,2024-10-09 06:42:23,Израиль,Морозов Дмитрий Иосифович,407020131473225662,Низкий риск,высокий риск
60092,45343.61,2025-05-24 05:11:47,Иран,Яковлев Панфил Тимофеевна,407023253184640696,Черный список FATF (высокий риск),высокий риск
60093,236121.04,2024-10-17 16:42:47,Китай,Ширяева Капитон Кузьминична,407020338023134503,Низкий риск,высокий риск
60094,191162.93,2024-08-20 05:14:56,Кипр,Федотов Автоном Борисович,407023319234962651,Офшор (риск),высокий риск
60095,295512.14,2024-12-03 22:07:55,Дания,Рогова Ипполит Богдановна,407024521165925159,Низкий риск,высокий риск
60096,190134.88,2025-04-20 22:50:12,Италия,Галкин Лора Викторовна,407024645732982407,Низкий риск,высокий риск
60097,110530.34,2024-12-07 03:48:56,Лаос,Копылов Варфоломей Валентинович,407021751784656084,Низкий риск,высокий риск
60098,196448.78,2025-02-18 15:03:07,Уганда,Мамонтов Казимир Димитриевич,407022463806952389,Серый список FATF (риск),высокий риск
60099,49719.94,2024-12-12 19:46:13,Черногория,Чернова Тамара Робертовна,407022491000847007,Низкий риск,средний риск
60100,262202.75,2025-03-28 23:33:52,Индонезия,Потапова Захар Львовна,407029928036946620,Низкий риск,высокий риск
60101,64675.29,2025-01-21 16:09:10,Япония,Сазонов Глафира Харитоновна,407028897435217629,Низкий риск,высокий риск
60102,113500.41,2025-02-25 11:01:25,Новая Зеландия,Мельникова Иларион Владленович,407023390744506589,Низкий риск,высокий риск
60103,281344.47,2024-09-08 08:17:04,Куба,Мельникова Иларион Владленович,407023390744506589,Санкционная (высокий риск),высокий риск
60104,216194.37,2025-05-03 17:30:06,Индия,Яковлева Евфросиния Аверьянович,407022165925789005,Низкий риск,высокий риск
60105,210839.20,2024-06-24 07:31:18,Норвегия,Терентьева Эмилия Олеговна,407023642338578419,Низкий риск,высокий риск
60106,91445.09,2024-07-07 03:52:33,Бурунди,Кононова Давыд Денисович,407029896933648536,Низкий риск,высокий риск
60107,54170.81,2024-12-20 03:46:46,Сенегал,Фролова Фома Феодосьевич,407025839175829766,Серый список FATF (риск),высокий риск
60108,145183.90,2024-08-27 01:47:34,Бельгия,Кудрявцева Агата Степановна,407022693681622964,Низкий риск,высокий риск
60109,145855.27,2025-01-31 20:26:20,Сенегал,Воронцов Александра Марсович,407024975051720717,Серый список FATF (риск),высокий риск
60110,20430.25,2024-08-08 06:38:52,ЮАР,Копылов Варфоломей Валентинович,407021751784656084,Серый список FATF (риск),высокий риск
60111,116075.62,2024-11-18 12:17:49,Франция,Дмитриев Ермолай Федоровна,407028773741004260,Низкий риск,высокий риск
60112,145161.77,2024-07-14 11:51:30,Малайзия,Мельникова Иларион Владленович,407023390744506589,Низкий риск,высокий риск
60113,237792.01,2024-11-26 15:18:26,Япония,Бурова Андрон Филимонович,407029159343950331,Низкий риск,высокий риск
60114,239222.51,2024-09-20 09:56:17,Бурунди,Кондратьев Иосиф Харламович,407025897414452387,Низкий риск,высокий риск
60115,49906.61,2024-12-21 08:10:59,Шри-Ланка,Данилов Харитон Анисимович,407021911450758375,Низкий риск,средний риск
60116,299471.06,2024-12-16 08:27:19,Ирак,Савина Флорентин Адрианович,407023424408906955,Высокая коррупция (риск),высокий риск
60117,111506.25,2025-03-06 20:32:53,Черногория,Чернова Тамара Робертовна,407022491000847007,Низкий риск,высокий риск
60118,146347.17,2024-07-24 08:17:48,Джибути,Яковлева Евфросиния Аверьянович,407022165925789005,Низкий риск,высокий риск
60119,124903.92,2025-03-09 20:52:37,Чехия,Гришин Куприян Трофимович,407020929029803383,Низкий риск,высокий риск
60120,244403.84,2024-11-04 20:56:15,Китай,Никитин Остап Эдуардовна,407025210832475327,Низкий риск,высокий риск
60121,140161.76,2025-04-01 14:07:13,Аргентина,Воробьева Модест Викторовна,407023234711946109,Низкий риск,высокий риск
60122,286851.89,2024-10-27 18:14:45,Марокко,Зайцева Ираклий Зиновьевич,407022548496226115,Низкий риск,высокий риск
60123,57044.34,2025-02-22 04:56:30,Молдова,Комиссаров Роман Артемовна,407024198289642178,Низкий риск,высокий риск
60124,244410.57,2024-10-04 16:06:05,Бенин,Красильникова Афиноген Алексеевич,407022004262198905,Низкий риск,высокий риск
60125,194340.57,2025-05-28 18:12:12,Румыния,Галкина Савва Ануфриевич,407026082438768926,Низкий риск,высокий риск
60126,84318.81,2024-12-14 04:38:29,Панама,Щукина Феоктист Захаровна,407021872838525157,Серый список FATF (риск),высокий риск
60127,62293.22,2025-03-05 19:37:32,Узбекистан,Суворова Эрнест Гордеевич,407029127800641724,СНГ (не подозрительная),высокий риск
60128,209335.54,2025-02-14 00:00:30,Израиль,Галкина Фотий Тимуровна,407020500619220023,Низкий риск,высокий риск
60129,109297.36,2024-09-14 10:39:20,Италия,Носов Владлен Юрьевна,407027024671771862,Низкий риск,высокий риск
60130,41333.67,2024-06-10 13:44:35,Мальта,Фролов Андрон Ярославович,407024762708899642,Офшор (риск),высокий риск
60131,162841.94,2025-02-02 16:48:16,Ирландия,Тарасов Станимир Антонович,407024070881143104,Низкий риск,высокий риск
60132,124054.09,2024-12-25 12:13:23,Аргентина,Калашникова Лаврентий Фокич,407029022446497446,Низкий риск,высокий риск
60133,254225.38,2024-10-25 02:06:46,Словения,Фролова Фома Феодосьевич,407025839175829766,Низкий риск,высокий риск
60134,23263.92,2024-08-24 10:28:00,Боливия,Фролов Андрон Ярославович,407024762708899642,Низкий риск,средний риск
60135,19550.90,2024-12-26 02:57:16,Канада,Суворова Антип Венедиктович,407027258610623307,Низкий риск,низкий риск
60136,99329.81,2025-01-05 21:25:22,Армения,Галкин Лора Викторовна,407024645732982407,СНГ (не подозрительная),высокий риск
60137,78817.86,2024-06-13 01:10:16,Норвегия,Мамонтов Казимир Димитриевич,407022463806952389,Низкий риск,высокий риск
60138,30568.54,2025-01-21 07:31:37,Монако,Морозов Дмитрий Иосифович,407020131473225662,Офшор (риск),высокий риск
60139,194359.72,2025-05-31 15:16:20,Чад,Калашникова Лаврентий Фокич,407029022446497446,Низкий риск,высокий риск
60140,249472.03,2025-01-22 01:44:52,Сингапур,Михеев Григорий Тимуровна,407029104046089535,Офшор (риск),высокий риск
60141,34406.72,2024-07-14 04:38:25,Алжир,Савельева Остромир Ермолаевич,407022851704819711,Низкий риск,средний риск
60142,51040.10,2025-03-13 11:33:34,Бельгия,Копылова Антонина Анисимович,407025521633128502,Низкий риск,высокий риск
60143,143311.35,2024-07-24 23:32:32,Габон,Кондратьев Иосиф Харламович,407025897414452387,Низкий риск,высокий риск
60144,137970.01,2025-04-01 20:06:42,Греция,Фомин Агап Ильич,407024988896595239,Низкий риск,высокий риск
60145,93723.06,2024-09-13 19:02:04,Гвинея,Дорофеева Евгения Даниловна,407022943802337773,Низкий риск,высокий риск
60146,16529.32,2025-02-02 03:40:53,Буркина-Фасо,Фролов Андрон Ярославович,407024762708899642,Серый список FATF (риск),высокий риск
60147,265806.55,2025-04-16 08:29:49,Нидерланды,Панфилов Вениамин Станиславовна,407023424917518868,Низкий риск,высокий риск
60148,89281.99,2025-01-28 15:53:17,Чили,Тарасова Ярополк Робертовна,407020768179032620,Низкий риск,высокий риск
60149,128463.13,2025-01-08 00:58:33,Чили,Рогова Ипполит Богдановна,407024521165925159,Низкий риск,высокий риск
60150,87702.20,2024-08-19 08:51:03,Бахрейн,Тарасов Станимир Антонович,407024070881143104,Низкий риск,высокий риск
60151,71101.48,2025-02-14 07:06:49,Финляндия,Дьячкова Тимофей Тарасовна,407029658795477744,Низкий риск,высокий риск
60152,23780.46,2025-01-16 03:40:32,Сенегал,Князев Никодим Ниловна,407022241940342207,Серый список FATF (риск),высокий риск
60153,250795.79,2025-02-22 00:37:13,ЮАР,Ефремов Татьяна Гавриилович,407027382855792179,Серый список FATF (риск),высокий риск
60154,213991.03,2025-01-22 06:21:26,Филиппины,Семенов Боян Станиславовна,407024771193433353,Серый список FATF (риск),высокий риск
60155,194941.57,2024-06-11 07:44:27,Кипр,Красильникова Афиноген Алексеевич,407022004262198905,Офшор (риск),высокий риск
60156,236795.07,2025-03-26 20:40:16,Швейцария,Молчанова Орест Афанасьевич,407027011438863131,Офшор (риск),высокий риск
60157,128563.16,2024-08-16 06:25:01,Чехия,Мамонтов Казимир Димитриевич,407022463806952389,Низкий риск,высокий риск
60158,194514.42,2024-06-14 08:38:39,Таиланд,Воробьева Модест Викторовна,407023234711946109,Низкий риск,высокий риск
60159,138429.29,2024-12-22 15:51:07,Саудовская Аравия,Воронцов Александра Марсович,407024975051720717,Низкий риск,высокий риск
60160,43211.23,2024-08-01 22:25:32,Мальта,Данилов Харитон Анисимович,407021911450758375,Офшор (риск),высокий риск
60161,282384.51,2024-07-03 11:46:08,Иран,Рогова Феофан Фролович,407021538735222408,Черный список FATF (высокий риск),высокий риск
60162,233704.37,2025-03-15 18:40:36,Южная Корея,Петухова Сидор Иларионович,407022152321842466,Низкий риск,высокий риск
60163,1103.28,2024-06-23 08:35:35,Йемен,Щербаков Бажен Федоровна,407027071950740306,Серый список FATF (риск),высокий риск
60164,185716.09,2024-09-12 17:54:08,Гватемала,Никитин Остап Эдуардовна,407025210832475327,Низкий риск,высокий риск
60165,218013.80,2025-03-02 16:47:39,Ангола,Копылова Зосима Ефимович,407028622344292159,Высокая коррупция (риск),высокий риск
60166,184007.00,2025-02-15 22:19:12,Джибути,Сергеев Эрнест Константиновна,407020925983196428,Низкий риск,высокий риск
60167,224019.56,2024-10-28 07:00:36,Китай,Фролов Андрон Ярославович,407024762708899642,Низкий риск,высокий риск
60168,1201.67,2024-07-25 05:20:01,Гана,Мельникова Иларион Владленович,407023390744506589,Серый список FATF (риск),высокий риск
60169,223263.29,2024-07-10 07:10:27,Мексика,Никитин Остап Эдуардовна,407025210832475327,Низкий риск,высокий риск
60170,108205.88,2025-03-10 00:07:32,Чили,Данилов Харитон Анисимович,407021911450758375,Низкий риск,высокий риск
60171,287756.62,2025-05-15 17:23:09,Никарагуа,Котов Прокофий Борисовна,407027375099712618,Санкционная (высокий риск),высокий риск
60172,175722.96,2025-04-11 21:37:25,Германия,Григорьев Сидор Валерьянович,407021422101636308,Низкий риск,высокий риск
60173,9260.61,2024-10-13 15:52:07,Таиланд,Савельева Остромир Ермолаевич,407022851704819711,Низкий риск,низкий риск
60174,152260.47,2024-12-07 13:34:45,Малайзия,Панфилов Вениамин Станиславовна,407023424917518868,Низкий риск,высокий риск
60175,204452.85,2024-11-12 14:05:21,Дания,Гришин Куприян Трофимович,407020929029803383,Низкий риск,высокий риск
60176,192302.08,2024-06-05 16:14:36,Австралия,Прохорова Леонид Аскольдовна,407027117316682861,Низкий риск,высокий риск
60177,23145.05,2024-11-08 05:46:02,Марокко,Галкин Лора Викторовна,407024645732982407,Низкий риск,средний риск
60178,226437.39,2024-07-06 21:59:26,Колумбия,Щербаков Бажен Федоровна,407027071950740306,Низкий риск,высокий риск
60179,114362.09,2024-10-09 15:30:06,Йемен,Фролова Фома Феодосьевич,407025839175829766,Серый список FATF (риск),высокий риск
60180,192460.78,2024-10-17 00:41:59,Австрия,Бурова Андрон Филимонович,407029159343950331,Низкий риск,высокий риск
60181,99381.81,2024-08-09 21:23:43,Таиланд,Мишин Кир Витальевич,407022433722473948,Низкий риск,высокий риск
60182,24907.72,2025-04-04 07:59:21,Индонезия,Савельева Остромир Ермолаевич,407022851704819711,Низкий риск,средний риск
60183,109430.33,2024-11-28 03:08:31,Тунис,Рогова Ипполит Богдановна,407024521165925159,Низкий риск,высокий риск
60184,65322.37,2024-12-01 08:39:24,Люксембург,Иванова Эраст Харитонович,407022667374044683,Низкий риск,высокий риск
60185,35918.18,2025-02-08 02:18:36,Оман,Котов Прокофий Борисовна,407027375099712618,Низкий риск,средний риск
60186,292773.47,2025-02-07 11:11:36,Италия,Князев Никодим Ниловна,407022241940342207,Низкий риск,высокий риск
60187,82589.24,2025-05-26 19:50:39,Мексика,Прохорова Леонид Аскольдовна,407027117316682861,Низкий риск,высокий риск
60188,80182.20,2024-09-14 14:26:47,Боливия,Гришин Куприян Трофимович,407020929029803383,Низкий риск,высокий риск
60189,276024.42,2024-11-15 17:49:09,Таиланд,Фролов Андрон Ярославович,407024762708899642,Низкий риск,высокий риск
60190,171483.80,2025-02-11 12:42:37,Канада,Князев Никодим Ниловна,407022241940342207,Низкий риск,высокий риск
60191,175908.34,2024-11-12 19:11:15,Сирия,Прохорова Леонид Аскольдовна,407027117316682861,Санкционная (высокий риск),высокий риск
60192,3182.21,2024-07-19 04:13:59,Шри-Ланка,Щукина Феоктист Захаровна,407021872838525157,Низкий риск,низкий риск
60193,286128.19,2024-06-14 14:46:28,Дания,Кононов Гордей Еремеевич,407029454576526663,Низкий риск,высокий риск
60194,259115.35,2025-04-10 07:42:57,Турция,Копылова Зосима Ефимович,407028622344292159,Серый список FATF (риск),высокий риск
60195,233053.80,2025-04-29 21:26:23,Непал,Савельева Остромир Ермолаевич,407022851704819711,Низкий риск,высокий риск
60196,209167.68,2025-03-25 06:24:10,Исландия,Журавлев Таисия Анатольевна,407027032200835920,Низкий риск,высокий риск
60197,4915.35,2025-02-13 10:07:04,Албания,Князев Никодим Ниловна,407022241940342207,Серый список FATF (риск),высокий риск
60198,230200.99,2024-06-22 06:52:59,Тунис,Лихачева Адриан Евгеньевна,407023221026097082,Низкий риск,высокий риск
60199,250131.40,2024-06-28 02:59:15,Исландия,Суханов Эраст Ефимовна,407026057625076240,Низкий риск,высокий риск
60200,252485.67,2025-01-19 05:24:27,Уганда,Котов Кондрат Ерофеевич,407023795449503350,Серый список FATF (риск),высокий риск
60201,166896.52,2025-04-15 06:49:23,Индия,Лебедева Никифор Феликсовна,407028968930657910,Низкий риск,высокий риск
60202,164361.72,2025-02-27 00:55:45,Швеция,Калашникова Лаврентий Фокич,407029022446497446,Низкий риск,высокий риск
60203,214085.50,2024-12-05 14:50:36,Мексика,Бирюкова Синклитикия Афанасьевна,407029114357208580,Низкий риск,высокий риск
60204,195752.93,2024-08-20 10:46:54,Греция,Галкин Лора Викторовна,407024645732982407,Низкий риск,высокий риск
60205,54838.66,2024-06-17 15:12:43,Уругвай,Калашникова Лаврентий Фокич,407029022446497446,Низкий риск,высокий риск
60206,183594.49,2025-03-20 16:42:55,Лаос,Макаров Авксентий Виленович,407027805350048022,Низкий риск,высокий риск
60207,270220.22,2024-06-24 08:44:01,Монголия,Терентьева Эмилия Олеговна,407023642338578419,Низкий риск,высокий риск
60208,127580.45,2024-11-06 00:14:32,Италия,Тарасова Ярополк Робертовна,407020768179032620,Низкий риск,высокий риск
60209,49683.97,2024-11-26 05:57:35,Камерун,Абрамов Клавдия Григорьевич,407029651532310884,Низкий риск,средний риск
60210,204919.41,2025-02-04 18:53:14,Таиланд,Кононов Мечислав Тарасовна,407020933108062598,Низкий риск,высокий риск
60211,30097.08,2024-07-08 05:49:37,Финляндия,Морозов Дмитрий Иосифович,407020131473225662,Низкий риск,средний риск
60212,162357.16,2025-03-18 03:25:52,Монако,Власов Прокофий Демьянович,407020440552063870,Офшор (риск),высокий риск
60213,57529.87,2024-12-22 05:00:48,ОАЭ,Калашникова Лаврентий Фокич,407029022446497446,Серый список FATF (риск),высокий риск
60214,42543.11,2024-08-06 10:16:48,Перу,Михеев Григорий Тимуровна,407029104046089535,Низкий риск,средний риск
60215,129871.17,2024-09-20 03:08:57,Россия,Ефремов Авксентий Ефстафьевич,407020969495136460,СНГ (не подозрительная),высокий риск
60216,259529.65,2024-12-15 19:49:36,Индия,Сергеев Эрнест Константиновна,407020925983196428,Низкий риск,высокий риск
60217,237811.47,2024-09-29 05:23:03,Польша,Лазарева Севастьян Арсенович,407029505838984306,Низкий риск,высокий риск
60218,82961.28,2024-09-01 19:32:29,Дания,Щукина Феоктист Захаровна,407021872838525157,Низкий риск,высокий риск
60219,293185.37,2025-03-04 18:52:45,Ирак,Воронцов Александра Марсович,407024975051720717,Высокая коррупция (риск),высокий риск
60220,8166.17,2025-05-02 17:04:14,Бразилия,Дьячкова Тимофей Тарасовна,407029658795477744,Низкий риск,низкий риск
60221,8661.71,2024-12-12 21:47:28,Ирландия,Михеев Григорий Тимуровна,407029104046089535,Низкий риск,низкий риск
60222,296362.96,2024-09-08 22:28:18,Канада,Галкин Лора Викторовна,407024645732982407,Низкий риск,высокий риск
60223,115825.24,2024-07-08 05:54:12,Гамбия,Лазарева Севастьян Арсенович,407029505838984306,Низкий риск,высокий риск
