id,Amount,Date,Country,Client_FIO,Account_Number
113,237792.01 RUB,2024-11-26 15:18:26,Япония,Бурова Андрон Филимонович,407029159343950331
114,239222.51 RUB,2024-09-20 09:56:17,Бурунди,Кондратьев Иосиф Харламович,407025897414452387
115,49906.61 RUB,2024-12-21 08:10:59,Шри-Ланка,Данилов Харитон Анисимович,407021911450758375
116,299471.06 RUB,2024-12-16 08:27:19,Ирак,Савина Флорентин Адрианович,407023424408906955
117,111506.25 RUB,2025-03-06 20:32:53,Черногория,Чернова Тамара Робертовна,407022491000847007
118,146347.17 RUB,2024-07-24 08:17:48,Джибути,Яковлева Евфросиния Аверьянович,407022165925789005
119,124903.92 RUB,2025-03-09 20:52:37,Чехия,Гришин Куприян Трофимович,407020929029803383
120,244403.84 RUB,2024-11-04 20:56:15,Китай,Никитин Остап Эдуардовна,407025210832475327
121,140161.76 RUB,2025-04-01 14:07:13,Аргентина,Воробьева Модест Викторовна,407023234711946109
122,286851.89 RUB,2024-10-27 18:14:45,Марокко,Зайцева Ираклий Зиновьевич,407022548496226115
123,57044.34 RUB,2025-02-22 04:56:30,Молдова,Комиссаров Роман Артемовна,407024198289642178
124,244410.57 RUB,2024-10-04 16:06:05,Бенин,Красильникова Афиноген Алексеевич,407022004262198905
125,194340.57 RUB,2025-05-28 18:12:12,Румыния,Галкина Савва Ануфриевич,407026082438768926
126,84318.81 RUB,2024-12-14 04:38:29,Панама,Щукина Феоктист Захаровна,407021872838525157
127,62293.22 RUB,2025-03-05 19:37:32,Узбекистан,Суворова Эрнест Гордеевич,407029127800641724
128,209335.54 RUB,2025-02-14 00:00:30,Израиль,Галкина Фотий Тимуровна,407020500619220023
129,109297.36 RUB,2024-09-14 10:39:20,Италия,Носов Владлен Юрьевна,407027024671771862
130,41333.67 RUB,2024-06-10 13:44:35,Мальта,Фролов Андрон Ярославович,407024762708899642
131,162841.94 RUB,2025-02-02 16:48:16,Ирландия,Тарасов Станимир Антонович,407024070881143104
132,124054.09 RUB,2024-12-25 12:13:23,Аргентина,Калашникова Лаврентий Фокич,407029022446497446
133,254225.38 RUB,2024-10-25 02:06:46,Словения,Фролова Фома Феодосьевич,407025839175829766
134,23263.92 RUB,2024-08-24 10:28:00,Боливия,Фролов Андрон Ярославович,407024762708899642
135,19550.9 RUB,2024-12-26 02:57:16,Канада,Суворова Антип Венедиктович,407027258610623307
136,99329.81 RUB,2025-01-05 21:25:22,Армения,Галкин Лора Викторовна,407024645732982407
137,78817.86 RUB,2024-06-13 01:10:16,Норвегия,Мамонтов Казимир Димитриевич,407022463806952389
138,30568.54 RUB,2025-01-21 07:31:37,Монако,Морозов Дмитрий Иосифович,407020131473225662
139,194359.72 RUB,2025-05-31 15:16:20,Чад,Калашникова Лаврентий Фокич,407029022446497446
140,249472.03 RUB,2025-01-22 01:44:52,Сингапур,Михеев Григорий Тимуровна,407029104046089535
141,34406.72 RUB,2024-07-14 04:38:25,Алжир,Савельева Остромир Ермолаевич,407022851704819711
142,51040.1 RUB,2025-03-13 11:33:34,Бельгия,Копылова Антонина Анисимович,407025521633128502
143,143311.35 RUB,2024-07-24 23:32:32,Габон,Кондратьев Иосиф Харламович,407025897414452387
144,137970.01 RUB,2025-04-01 20:06:42,Греция,Фомин Агап Ильич,407024988896595239
145,93723.06 RUB,2024-09-13 19:02:04,Гвинея,Дорофеева Евгения Даниловна,407022943802337773
146,16529.32 RUB,2025-02-02 03:40:53,Буркина-Фасо,Фролов Андрон Ярославович,407024762708899642
147,265806.55 RUB,2025-04-16 08:29:49,Нидерланды,Панфилов Вениамин Станиславовна,407023424917518868
148,89281.99 RUB,2025-01-28 15:53:17,Чили,Тарасова Ярополк Робертовна,407020768179032620
149,128463.13 RUB,2025-01-08 00:58:33,Чили,Рогова Ипполит Богдановна,407024521165925159
150,87702.2 RUB,2024-08-19 08:51:03,Бахрейн,Тарасов Станимир Антонович,407024070881143104
151,71101.48 RUB,2025-02-14 07:06:49,Финляндия,Дьячкова Тимофей Тарасовна,407029658795477744
152,23780.46 RUB,2025-01-16 03:40:32,Сенегал,Князев Никодим Ниловна,407022241940342207
153,250795.79 RUB,2025-02-22 00:37:13,ЮАР,Ефремов Татьяна Гавриилович,407027382855792179
154,213991.03 RUB,2025-01-22 06:21:26,Филиппины,Семенов Боян Станиславовна,407024771193433353
155,194941.57 RUB,2024-06-11 07:44:27,Кипр,Красильникова Афиноген Алексеевич,407022004262198905
156,236795.07 RUB,2025-03-26 20:40:16,Швейцария,Молчанова Орест Афанасьевич,407027011438863131
157,128563.16 RUB,2024-08-16 06:25:01,Чехия,Мамонтов Казимир Димитриевич,407022463806952389
158,194514.42 RUB,2024-06-14 08:38:39,Таиланд,Воробьева Модест Викторовна,407023234711946109
159,138429.29 RUB,2024-12-22 15:51:07,Саудовская Аравия,Воронцов Александра Марсович,407024975051720717
160,43211.23 RUB,2024-08-01 22:25:32,Мальта,Данилов Харитон Анисимович,407021911450758375
161,282384.51 RUB,2024-07-03 11:46:08,Иран,Рогова Феофан Фролович,407021538735222408
162,233704.37 RUB,2025-03-15 18:40:36,Южная Корея,Петухова Сидор Иларионович,407022152321842466
163,185716.09 RUB,2024-09-12 17:54:08,Гватемала,Никитин Остап Эдуардовна,407025210832475327
164,218013.8 RUB,2025-03-02 16:47:39,Ангола,Копылова Зосима Ефимович,407028622344292159
165,184007.0 RUB,2025-02-15 22:19:12,Джибути,Сергеев Эрнест Константиновна,407020925983196428
166,224019.56 RUB,2024-10-28 07:00:36,Китай,Фролов Андрон Ярославович,407024762708899642
167,1201.67 RUB,2024-07-25 05:20:01,Гана,Мельникова Иларион Владленович,407023390744506589
168,223263.29 RUB,2024-07-10 07:10:27,Мексика,Никитин Остап Эдуардовна,407025210832475327
169,108205.88 RUB,2025-03-10 00:07:32,Чили,Данилов Харитон Анисимович,407021911450758375
170,287756.62 RUB,2025-05-15 17:23:09,Никарагуа,Котов Прокофий Борисовна,407027375099712618
171,175722.96 RUB,2025-04-11 21:37:25,Германия,Григорьев Сидор Валерьянович,407021422101636308
172,9260.61 RUB,2024-10-13 15:52:07,Таиланд,Савельева Остромир Ермолаевич,407022851704819711
173,152260.47 RUB,2024-12-07 13:34:45,Малайзия,Панфилов Вениамин Станиславовна,407023424917518868
174,204452.85 RUB,2024-11-12 14:05:21,Дания,Гришин Куприян Трофимович,407020929029803383
175,192302.08 RUB,2024-06-05 16:14:36,Австралия,Прохорова Леонид Аскольдовна,407027117316682861
176,23145.05 RUB,2024-11-08 05:46:02,Марокко,Галкин Лора Викторовна,407024645732982407
177,226437.39 RUB,2024-07-06 21:59:26,Колумбия,Щербаков Бажен Федоровна,407027071950740306
178,114362.09 RUB,2024-10-09 15:30:06,Йемен,Фролова Фома Феодосьевич,407025839175829766
179,192460.78 RUB,2024-10-17 00:41:59,Австрия,Бурова Андрон Филимонович,407029159343950331
180,99381.81 RUB,2024-08-09 21:23:43,Таиланд,Мишин Кир Витальевич,407022433722473948
181,24907.72 RUB,2025-04-04 07:59:21,Индонезия,Савельева Остромир Ермолаевич,407022851704819711
182,109430.33 RUB,2024-11-28 03:08:31,Тунис,Рогова Ипполит Богдановна,407024521165925159
183,65322.37 RUB,2024-12-01 08:39:24,Люксембург,Иванова Эраст Харитонович,407022667374044683
184,35918.18 RUB,2025-02-08 02:18:36,Оман,Котов Прокофий Борисовна,407027375099712618
185,292773.47 RUB,2025-02-07 11:11:36,Италия,Князев Никодим Ниловна,407022241940342207
186,82589.24 RUB,2025-05-26 19:50:39,Мексика,Прохорова Леонид Аскольдовна,407027117316682861
187,80182.2 RUB,2024-09-14 14:26:47,Боливия,Гришин Куприян Трофимович,407020929029803383
188,276024.42 RUB,2024-11-15 17:49:09,Таиланд,Фролов Андрон Ярославович,407024762708899642
189,171483.8 RUB,2025-02-11 12:42:37,Канада,Князев Никодим Ниловна,407022241940342207
190,175908.34 RUB,2024-11-12 19:11:15,Сирия,Прохорова Леонид Аскольдовна,407027117316682861
191,3182.21 RUB,2024-07-19 04:13:59,Шри-Ланка,Щукина Феоктист Захаровна,407021872838525157
192,286128.19 RUB,2024-06-14 14:46:28,Дания,Кононов Гордей Еремеевич,407029454576526663
193,259115.35 RUB,2025-04-10 07:42:57,Турция,Копылова Зосима Ефимович,407028622344292159
194,233053.8 RUB,2025-04-29 21:26:23,Непал,Савельева Остромир Ермолаевич,407022851704819711
195,209167.68 RUB,2025-03-25 06:24:10,Исландия,Журавлев Таисия Анатольевна,407027032200835920
196,4915.35 RUB,2025-02-13 10:07:04,Албания,Князев Никодим Ниловна,407022241940342207
197,230200.99 RUB,2024-06-22 06:52:59,Тунис,Лихачева Адриан Евгеньевна,407023221026097082
198,250131.4 RUB,2024-06-28 02:59:15,Исландия,Суханов Эраст Ефимовна,407026057625076240
199,252485.67 RUB,2025-01-19 05:24:27,Уганда,Котов Кондрат Ерофеевич,407023795449503350
200,166896.52 RUB,2025-04-15 06:49:23,Индия,Лебедева Никифор Феликсовна,407028968930657910
201,164361.72 RUB,2025-02-27 00:55:45,Швеция,Калашникова Лаврентий Фокич,407029022446497446
202,214085.5 RUB,2024-12-05 14:50:36,Мексика,Бирюкова Синклитикия Афанасьевна,407029114357208580
203,195752.93 RUB,2024-08-20 10:46:54,Греция,Галкин Лора Викторовна,407024645732982407
204,54838.66 RUB,2024-06-17 15:12:43,Уругвай,Калашникова Лаврентий Фокич,407029022446497446
205,183594.49 RUB,2025-03-20 16:42:55,Лаос,Макаров Авксентий Виленович,407027805350048022
206,270220.22 RUB,2024-06-24 08:44:01,Монголия,Терентьева Эмилия Олеговна,407023642338578419
207,127580.45 RUB,2024-11-06 00:14:32,Италия,Тарасова Ярополк Робертовна,407020768179032620
208,49683.97 RUB,2024-11-26 05:57:35,Камерун,Абрамов Клавдия Григорьевич,407029651532310884
209,204919.41 RUB,2025-02-04 18:53:14,Таиланд,Кононов Мечислав Тарасовна,407020933108062598
210,30097.08 RUB,2024-07-08 05:49:37,Финляндия,Морозов Дмитрий Иосифович,407020131473225662
211,162357.16 RUB,2025-03-18 03:25:52,Монако,Власов Прокофий Демьянович,407020440552063870
212,57529.87 RUB,2024-12-22 05:00:48,ОАЭ,Калашникова Лаврентий Фокич,407029022446497446
213,42543.11 RUB,2024-08-06 10:16:48,Перу,Михеев Григорий Тимуровна,407029104046089535
214,129871.17 RUB,2024-09-20 03:08:57,Россия,Ефремов Авксентий Ефстафьевич,407020969495136460
215,259529.65 RUB,2024-12-15 19:49:36,Индия,Сергеев Эрнест Константиновна,407020925983196428
216,237811.47 RUB,2024-09-29 05:23:03,Польша,Лазарева Севастьян Арсенович,407029505838984306
217,82961.28 RUB,2024-09-01 19:32:29,Дания,Щукина Феоктист Захаровна,407021872838525157
218,293185.37 RUB,2025-03-04 18:52:45,Ирак,Воронцов Александра Марсович,407024975051720717
219,8166.17 RUB,2025-05-02 17:04:14,Бразилия,Дьячкова Тимофей Тарасовна,407029658795477744
220,8661.71 RUB,2024-12-12 21:47:28,Ирландия,Михеев Григорий Тимуровна,407029104046089535
221,296362.96 RUB,2024-09-08 22:28:18,Канада,Галкин Лора Викторовна,407024645732982407
222,115825.24 RUB,2024-07-08 05:54:12,Гамбия,Лазарева Севастьян Арсенович,407029505838984306
223,25256.5 RUB,2024-11-13 15:20:47,Бенин,Котов Кондрат Ерофеевич,407023795449503350
224,119653.81 RUB,2025-05-06 14:25:13,Эквадор,Лаврентьева Митофан Владимировна,407021197300443094
225,258183.86 RUB,2025-05-31 07:15:11,Словения,Князева Иосиф Альбертовна,407029955085444245
226,240540.58 RUB,2024-06-25 04:33:14,Гаити,Лаврентьева Митофан Владимировна,407021197300443094
227,164023.72 RUB,2025-05-24 02:50:39,Гватемала,Ширяева Капитон Кузьминична,407020338023134503
228,80811.77 RUB,2024-06-20 16:49:45,Казахстан,Данилов Харитон Анисимович,407021911450758375
229,94217.91 RUB,2024-10-15 02:43:53,Хорватия,Дмитриев Ермолай Федоровна,407028773741004260
230,35327.68 RUB,2025-04-13 19:45:41,Никарагуа,Мельникова Иларион Владленович,407023390744506589
231,283642.16 RUB,2025-05-17 00:14:44,Бенин,Ефремов Татьяна Гавриилович,407027382855792179
232,8188.91 RUB,2024-06-09 10:54:50,Руанда,Савина Флорентин Адрианович,407023424408906955
233,241733.33 RUB,2024-08-15 22:03:02,Лаос,Сергеев Эрнест Константиновна,407020925983196428
234,261694.68 RUB,2025-04-05 12:13:18,Армения,Лазарева Севастьян Арсенович,407029505838984306
235,180468.84 RUB,2024-11-02 03:55:12,Япония,Кононов Мечислав Тарасовна,407020933108062598
236,276248.35 RUB,2024-12-06 00:42:10,Исландия,Дьячкова Тимофей Тарасовна,407029658795477744
237,224710.49 RUB,2025-01-04 14:17:34,Никарагуа,Мишин Кир Витальевич,407022433722473948
238,163014.29 RUB,2024-10-12 07:26:54,Беларусь,Комиссаров Роман Артемовна,407024198289642178
239,249362.76 RUB,2024-12-03 23:45:52,Йемен,Турова Леон Александрович,407026579325266148
240,89401.78 RUB,2025-04-24 00:59:39,Исландия,Григорьев Сидор Валерьянович,407021422101636308
241,278455.6 RUB,2024-07-31 04:52:00,Дания,Абрамов Клавдия Григорьевич,407029651532310884
242,142234.65 RUB,2024-09-26 18:36:31,Уругвай,Попов Глеб Валентиновна,407023333752568116
243,252885.16 RUB,2025-06-01 19:59:56,Узбекистан,Потапова Захар Львовна,407029928036946620
244,172233.49 RUB,2024-08-23 17:18:36,Куба,Дорофеева Евгения Даниловна,407022943802337773
245,54195.57 RUB,2024-12-25 03:55:10,Тунис,Мамонтов Казимир Димитриевич,407022463806952389
246,96913.9 RUB,2024-06-28 01:18:57,Афганистан,Ефремов Татьяна Гавриилович,407027382855792179
247,121092.21 RUB,2024-12-03 22:06:34,Гондурас,Савина Флорентин Адрианович,407023424408906955
248,36087.23 RUB,2024-08-18 07:39:49,Монако,Яковлева Евфросиния Аверьянович,407022165925789005
249,205843.04 RUB,2024-09-18 22:43:16,Беларусь,Лыткин Елисей Александровна,407029663363923667
250,109958.9 RUB,2025-04-20 03:51:09,Замбия,Лихачева Адриан Евгеньевна,407023221026097082
251,38123.76 RUB,2024-12-07 00:49:13,Швейцария,Лаврентьева Митофан Владимировна,407021197300443094
252,89695.83 RUB,2024-11-06 10:32:15,Гана,Дьячкова Тимофей Тарасовна,407029658795477744
253,271412.7 RUB,2025-04-28 01:14:10,Мексика,Котов Кондрат Ерофеевич,407023795449503350
254,205269.77 RUB,2024-09-21 19:06:45,Словения,Власов Прокофий Демьянович,407020440552063870
255,20300.12 RUB,2025-05-31 15:29:19,Словакия,Рогова Феофан Фролович,407021538735222408
256,181896.59 RUB,2025-05-25 19:37:51,Малайзия,Кононов Гордей Еремеевич,407029454576526663
257,132546.29 RUB,2024-06-04 01:10:14,Индонезия,Терентьева Эмилия Олеговна,407023642338578419
258,289184.47 RUB,2025-01-04 15:15:44,Бангладеш,Савина Флорентин Адрианович,407023424408906955
259,40554.77 RUB,2024-10-31 08:41:13,Тунис,Комиссаров Роман Артемовна,407024198289642178
260,32658.21 RUB,2024-11-02 20:24:02,Нигерия,Лебедева Никифор Феликсовна,407028968930657910
261,84092.12 RUB,2024-08-30 01:25:13,Боливия,Хохлова Евфросиния Егорович,407022921912713131
262,121436.27 RUB,2024-08-21 22:56:35,Беларусь,Щербаков Бажен Федоровна,407027071950740306
263,232876.06 RUB,2024-08-25 00:41:53,Уганда,Данилов Харитон Анисимович,407021911450758375
264,209994.9 RUB,2024-09-14 15:04:17,Таиланд,Турова Леон Александрович,407026579325266148
265,123869.21 RUB,2024-09-22 00:53:07,Эквадор,Лебедева Никифор Феликсовна,407028968930657910
266,145850.12 RUB,2025-03-06 22:55:05,Южная Корея,Котов Прокофий Борисовна,407027375099712618
267,124054.19 RUB,2024-06-09 11:35:23,Панама,Михайлов Ермолай Оскаровна,407020986151040912
268,90627.66 RUB,2024-06-23 23:23:35,Азербайджан,Терентьева Эмилия Олеговна,407023642338578419
269,40264.85 RUB,2024-11-04 20:59:45,Израиль,Фомин Агап Ильич,407024988896595239
270,135154.46 RUB,2024-11-23 15:11:37,Лаос,Фомин Агап Ильич,407024988896595239
